bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
evaluation_29,2,1,edf,False,train:135,train:135,0
evaluation_29,2,2,greedy,False,train:135,train:135,0
evaluation_29,2,2,edf,False,train:135,train:135,0
evaluation_30,0,2,greedy,True,train:291;train:138,train:138,0
evaluation_30,0,2,edf,False,train:291;train:138,train:291;train:138,0
evaluation_30,0,1,greedy,True,train:291;train:138,train:138;train:291,0
evaluation_30,0,1,edf,False,train:291;train:138,train:291;train:138,0
evaluation_30,1,2,greedy,True,train:291;train:138,train:138,0
evaluation_30,1,2,edf,False,train:291;train:138,train:291;train:138,0
evaluation_30,1,1,greedy,True,train:291;train:138,train:138;train:291,0
evaluation_30,1,1,edf,False,train:291;train:138,train:291;train:138,0
evaluation_30,2,2,greedy,True,train:291;train:138,train:138,0
evaluation_30,2,2,edf,False,train:291;train:138,train:291;train:138,0
evaluation_30,2,1,greedy,True,train:291;train:138,train:138;train:291,0
evaluation_30,2,1,edf,False,train:291;train:138,train:291;train:138,0
evaluation_31,0,1,greedy,True,train:405;train:151;train:304,train:151;train:405;train:304,0
evaluation_31,0,1,edf,False,train:405;train:151;train:304,train:405;train:151;train:304,0
evaluation_31,0,2,greedy,True,train:405;train:151,train:151;train:304,0
evaluation_31,0,2,edf,False,train:405;train:151,train:405;train:151,0
evaluation_31,1,1,greedy,True,train:405;train:151,train:151;train:405,0
evaluation_31,1,1,edf,False,train:405;train:151,train:405;train:151,0
evaluation_31,1,2,greedy,True,train:405;train:151,train:151,0
evaluation_31,1,2,edf,False,train:405;train:151,train:405;train:151,0
evaluation_31,2,1,greedy,True,train:405;train:151;train:304,train:151;train:405;train:304,0
evaluation_31,2,1,edf,False,train:405;train:151;train:304,train:405;train:151;train:304,0
evaluation_31,2,2,greedy,True,train:405;train:151,train:151;train:304,0
